"table_catalog","table_schema","table_name","table_type","self_referencing_column_name","reference_generation","user_defined_type_catalog","user_defined_type_schema","user_defined_type_name","is_insertable_into","is_typed","commit_action"
"orders-db","public","dim_customer","BASE TABLE","","","","","","YES","NO",""
"orders-db","public","country_region","BASE TABLE","","","","","","YES","NO",""
"orders-db","public","dim_date","BASE TABLE","","","","","","YES","NO",""
"orders-db","public","dim_product","BASE TABLE","","","","","","YES","NO",""
"orders-db","public","forview","BASE TABLE","","","","","","YES","NO",""
"orders-db","public","dim_store","BASE TABLE","","","","","","YES","NO",""
"orders-db","public","orders","BASE TABLE","","","","","","YES","NO",""
"orders-db","public","forquerying2","BASE TABLE","","","","","","YES","NO",""
